theme,ticker,ticker_clean,confidence,tier,combined_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,sector,action
x402_ecosystem,AIKEK-USD,AIKEK,high,Tier 2,0.165478,-0.22111,38.6588,2.3,0.0,1.0,-19.11,34.16,Ecosystem,ACCUMULATE
x402_ecosystem,ADX-USD,ADX,high,Tier 2,0.165478,-0.22111,38.6588,2.3,0.0,1.0,-19.11,34.16,Ecosystem,ACCUMULATE
x402_ecosystem,EIGEN-USD,EIGEN,high,Tier 2,0.165478,-0.22111,38.6588,2.3,0.0,1.0,-19.11,34.16,Ecosystem,ACCUMULATE
polkafoundry_red_kite,ASPO-USD,ASPO,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,SOULS-USD,SOULS,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,DARK-USD,DARK,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,BLOK-USD,BLOK,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,GAFI-USD,GAFI,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,DREAMS-USD,DREAMS,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,BUNI-USD,BUNI,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
polkafoundry_red_kite,PKF-USD,PKF,high,Tier 2,0.16442,-0.179119,34.3539,0.0,0.0,1.0,-7.73,11.46,Other,ACCUMULATE
hyperliquid_ecosystem,LINK-USD,LINK,high,Tier 2,0.157722,-0.046002,20.3724,1.0,0.0,1.0,50.45,36.85,Ecosystem,ACCUMULATE
hyperliquid_ecosystem,USDH-USD,USDH,high,Tier 2,0.157722,-0.046002,20.3724,1.0,0.0,1.0,50.45,36.85,Ecosystem,ACCUMULATE
hyperliquid_ecosystem,PIP-USD,PIP,high,Tier 2,0.157722,-0.046002,20.3724,1.0,0.0,1.0,50.45,36.85,Ecosystem,ACCUMULATE
petrock_capital_portfolio,AZERO-USD,AZERO,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,ATLAS-USD,ATLAS,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,STEP-USD,STEP,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,POLIS-USD,POLIS,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,LITH-USD,LITH,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,SLIM-USD,SLIM,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
petrock_capital_portfolio,RAY-USD,RAY,high,Tier 2,0.152553,-0.214746,36.7299,0.785675,0.0,1.0,2.58,22.43,VC_Portfolio,ACCUMULATE
sonic_ecosystem,USDC-USD,USDC,high,Tier 2,0.145603,-0.046345,19.1948,0.585786,0.0,1.0,-3.8,10.91,Ecosystem,ACCUMULATE
sonic_ecosystem,EURC-USD,EURC,high,Tier 2,0.145603,-0.046345,19.1948,0.585786,0.0,1.0,-3.8,10.91,Ecosystem,ACCUMULATE
sonic_ecosystem,ZF-USD,ZF,high,Tier 2,0.145603,-0.046345,19.1948,0.585786,0.0,1.0,-3.8,10.91,Ecosystem,ACCUMULATE
sonic_ecosystem,LINK-USD,LINK,high,Tier 2,0.145603,-0.046345,19.1948,0.585786,0.0,1.0,-3.8,10.91,Ecosystem,ACCUMULATE
privacy,MINA-USD,MINA,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,CELO-USD,CELO,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,ZANO-USD,ZANO,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,ALEO-USD,ALEO,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,ZEC-USD,ZEC,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,DASH-USD,DASH,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,XMR-USD,XMR,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,ROSE-USD,ROSE,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,BDX-USD,BDX,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
privacy,TRAC-USD,TRAC,high,Tier 2,0.143549,-0.192232,33.5782,1.007852,1.0,1.0,-19.81,19.05,Privacy,ACCUMULATE
telegram_bot,PAAL-USD,PAAL,high,Tier 2,0.142363,-0.232391,37.4755,4.0,0.0,1.0,-17.7,26.07,Other,ACCUMULATE
telegram_bot,SPECTRE-USD,SPECTRE,high,Tier 2,0.142363,-0.232391,37.4755,4.0,0.0,1.0,-17.7,26.07,Other,ACCUMULATE
telegram_bot,CGPT-USD,CGPT,high,Tier 2,0.142363,-0.232391,37.4755,4.0,0.0,1.0,-17.7,26.07,Other,ACCUMULATE
telegram_bot,NOT-USD,NOT,high,Tier 2,0.142363,-0.232391,37.4755,4.0,0.0,1.0,-17.7,26.07,Other,ACCUMULATE
oxbull,SKILL-USD,SKILL,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,SHOE-USD,SHOE,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,MONI-USD,MONI,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,LFG-USD,LFG,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,ETNA-USD,ETNA,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,ALU-USD,ALU,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,POCO-USD,POCO,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
oxbull,BLOK-USD,BLOK,high,Tier 2,0.13604,-0.116166,25.2206,0.789472,0.0,0.9048,-2.35,15.09,Other,ACCUMULATE
kommunitas_launchpad,QORPO-USD,QORPO,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
kommunitas_launchpad,SHOE-USD,SHOE,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
kommunitas_launchpad,GQ-USD,GQ,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
kommunitas_launchpad,FYN-USD,FYN,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
kommunitas_launchpad,CHER-USD,CHER,high,Tier 2,0.132178,-0.089993,22.2172,1.0,0.0,1.0,3.94,33.84,VC_Portfolio,ACCUMULATE
move_to_earn,FITFI-USD,FITFI,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,WLKN-USD,WLKN,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,MOOV-USD,MOOV,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,STEP-USD,STEP,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,DEFIT-USD,DEFIT,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,DOSE-USD,DOSE,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
move_to_earn,SWEAT-USD,SWEAT,high,Tier 2,0.118225,-0.240366,35.859,0.0,0.0,1.0,146.71,52.66,Gaming,ACCUMULATE
paal_ecosystem,FLOKI-USD,FLOKI,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
paal_ecosystem,DIONE-USD,DIONE,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
paal_ecosystem,PAAL-USD,PAAL,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
paal_ecosystem,INSP-USD,INSP,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
paal_ecosystem,GHX-USD,GHX,high,Tier 2,0.118043,-0.26517,38.3213,4.5,0.0,1.0,-16.62,23.01,Ecosystem,ACCUMULATE
brc-20,MUBI-USD,MUBI,high,Tier 2,0.116527,-0.131833,24.836,0.390504,0.0,1.0,11.38,15.66,Other,ACCUMULATE
brc-20,ORDI-USD,ORDI,high,Tier 2,0.116527,-0.131833,24.836,0.390504,0.0,1.0,11.38,15.66,Other,ACCUMULATE
brc-20,RATS-USD,RATS,high,Tier 2,0.116527,-0.131833,24.836,0.390504,0.0,1.0,11.38,15.66,Other,ACCUMULATE
brc-20,TRAC-USD,TRAC,high,Tier 2,0.116527,-0.131833,24.836,0.390504,0.0,1.0,11.38,15.66,Other,ACCUMULATE
brc-20,BEFI-USD,BEFI,high,Tier 2,0.116527,-0.131833,24.836,0.390504,0.0,1.0,11.38,15.66,Other,ACCUMULATE
brc-20,ORNJ-USD,ORNJ,high,Tier 2,0.116527,-0.131833,24.836,0.390504,0.0,1.0,11.38,15.66,Other,ACCUMULATE
brc-20,LEVER-USD,LEVER,high,Tier 2,0.116527,-0.131833,24.836,0.390504,0.0,1.0,11.38,15.66,Other,ACCUMULATE
intent,LUMIA-USD,LUMIA,high,Tier 2,0.116265,-0.169127,28.5392,1.0,0.0,1.0,-14.98,34.68,Other,ACCUMULATE
intent,PSP-USD,PSP,high,Tier 2,0.116265,-0.169127,28.5392,1.0,0.0,1.0,-14.98,34.68,Other,ACCUMULATE
intent,SLF-USD,SLF,high,Tier 2,0.116265,-0.169127,28.5392,1.0,0.0,1.0,-14.98,34.68,Other,ACCUMULATE
btcfi,LINK-USD,LINK,high,Tier 2,0.112628,-0.111684,22.4311,1.0,0.0,1.0,-16.44,17.97,Other,ACCUMULATE
btcfi,PSTAKE-USD,PSTAKE,high,Tier 2,0.112628,-0.111684,22.4311,1.0,0.0,1.0,-16.44,17.97,Other,ACCUMULATE
btcfi,BANK-USD,BANK,high,Tier 2,0.112628,-0.111684,22.4311,1.0,0.0,1.0,-16.44,17.97,Other,ACCUMULATE
btcfi,ALEX-USD,ALEX,high,Tier 2,0.112628,-0.111684,22.4311,1.0,0.0,1.0,-16.44,17.97,Other,ACCUMULATE
btcfi,PENDLE-USD,PENDLE,high,Tier 2,0.112628,-0.111684,22.4311,1.0,0.0,1.0,-16.44,17.97,Other,ACCUMULATE
inscriptions,TRAC-USD,TRAC,high,Tier 2,0.111865,-0.136717,24.8582,1.75,0.0,1.0,1.53,25.1,Other,ACCUMULATE
inscriptions,ORDI-USD,ORDI,high,Tier 2,0.111865,-0.136717,24.8582,1.75,0.0,1.0,1.53,25.1,Other,ACCUMULATE
inscriptions,RATS-USD,RATS,high,Tier 2,0.111865,-0.136717,24.8582,1.75,0.0,1.0,1.53,25.1,Other,ACCUMULATE
inscriptions,MUBI-USD,MUBI,high,Tier 2,0.111865,-0.136717,24.8582,1.75,0.0,1.0,1.53,25.1,Other,ACCUMULATE
moon_knight_labs,HERA-USD,HERA,high,Tier 2,0.105953,-0.106529,21.2482,1.0,0.0,0.8956,-0.65,20.95,Other,ACCUMULATE
moon_knight_labs,ELMON-USD,ELMON,high,Tier 2,0.105953,-0.106529,21.2482,1.0,0.0,0.8956,-0.65,20.95,Other,ACCUMULATE
moon_knight_labs,BEM-USD,BEM,high,Tier 2,0.105953,-0.106529,21.2482,1.0,0.0,0.8956,-0.65,20.95,Other,ACCUMULATE
memes,WIF-USD,WIF,high,Tier 2,0.092005,-0.174405,26.6409,4.8,0.0,1.0,3.94,27.14,Memes,ACCUMULATE
memes,DOGE-USD,DOGE,high,Tier 2,0.092005,-0.174405,26.6409,4.8,0.0,1.0,3.94,27.14,Memes,ACCUMULATE
memes,BONK-USD,BONK,high,Tier 2,0.092005,-0.174405,26.6409,4.8,0.0,1.0,3.94,27.14,Memes,ACCUMULATE
memes,SHIB-USD,SHIB,high,Tier 2,0.092005,-0.174405,26.6409,4.8,0.0,1.0,3.94,27.14,Memes,ACCUMULATE
memes,M-USD,M,high,Tier 2,0.092005,-0.174405,26.6409,4.8,0.0,1.0,3.94,27.14,Memes,ACCUMULATE
memes,FLOKI-USD,FLOKI,high,Tier 2,0.092005,-0.174405,26.6409,4.8,0.0,1.0,3.94,27.14,Memes,ACCUMULATE
jump_crypto,SEI-USD,SEI,high,Tier 2,0.091977,-0.212084,30.4061,4.0,0.0,1.0,-15.14,23.38,Other,ACCUMULATE
jump_crypto,MAV-USD,MAV,high,Tier 2,0.091977,-0.212084,30.4061,4.0,0.0,1.0,-15.14,23.38,Other,ACCUMULATE
jump_crypto,W-USD,W,high,Tier 2,0.091977,-0.212084,30.4061,4.0,0.0,1.0,-15.14,23.38,Other,ACCUMULATE
jump_crypto,ATA-USD,ATA,high,Tier 2,0.091977,-0.212084,30.4061,4.0,0.0,1.0,-15.14,23.38,Other,ACCUMULATE
avalanche_ecosystem,AAVE-USD,AAVE,high,Tier 2,0.085655,-0.110521,19.6176,5.0,0.0,1.0,3.62,22.66,Ecosystem,ACCUMULATE
avalanche_ecosystem,SNX-USD,SNX,high,Tier 2,0.085655,-0.110521,19.6176,5.0,0.0,1.0,3.62,22.66,Ecosystem,ACCUMULATE
avalanche_ecosystem,LINK-USD,LINK,high,Tier 2,0.085655,-0.110521,19.6176,5.0,0.0,1.0,3.62,22.66,Ecosystem,ACCUMULATE
avalanche_ecosystem,BAT-USD,BAT,high,Tier 2,0.085655,-0.110521,19.6176,5.0,0.0,1.0,3.62,22.66,Ecosystem,ACCUMULATE
avalanche_ecosystem,AVAX-USD,AVAX,high,Tier 2,0.085655,-0.110521,19.6176,5.0,0.0,1.0,3.62,22.66,Ecosystem,ACCUMULATE
solana_ecosystem,RENDER-USD,RENDER,high,Tier 2,0.084807,-0.11508,19.9886,5.0,0.0,1.0,4.89,114.18,Ecosystem,ACCUMULATE
solana_ecosystem,LINK-USD,LINK,high,Tier 2,0.084807,-0.11508,19.9886,5.0,0.0,1.0,4.89,114.18,Ecosystem,ACCUMULATE
solana_ecosystem,SOL-USD,SOL,high,Tier 2,0.084807,-0.11508,19.9886,5.0,0.0,1.0,4.89,114.18,Ecosystem,ACCUMULATE
solana_ecosystem,AAVE-USD,AAVE,high,Tier 2,0.084807,-0.11508,19.9886,5.0,0.0,1.0,4.89,114.18,Ecosystem,ACCUMULATE
solana_ecosystem,JUP-USD,JUP,high,Tier 2,0.084807,-0.11508,19.9886,5.0,0.0,1.0,4.89,114.18,Ecosystem,ACCUMULATE
sharing_economy,POWR-USD,POWR,high,Tier 2,0.079565,-0.197147,27.6712,5.5,0.0,1.0,-11.1,17.85,Other,ACCUMULATE
sharing_economy,THETA-USD,THETA,high,Tier 2,0.079565,-0.197147,27.6712,5.5,0.0,1.0,-11.1,17.85,Other,ACCUMULATE
sharing_economy,LNQ-USD,LNQ,high,Tier 2,0.079565,-0.197147,27.6712,5.5,0.0,1.0,-11.1,17.85,Other,ACCUMULATE
sharing_economy,VEMP-USD,VEMP,high,Tier 2,0.079565,-0.197147,27.6712,5.5,0.0,1.0,-11.1,17.85,Other,ACCUMULATE
sharing_economy,LMWR-USD,LMWR,high,Tier 2,0.079565,-0.197147,27.6712,5.5,0.0,1.0,-11.1,17.85,Other,ACCUMULATE
sharing_economy,TFUEL-USD,TFUEL,high,Tier 2,0.079565,-0.197147,27.6712,5.5,0.0,1.0,-11.1,17.85,Other,ACCUMULATE
tokenized_commodities,XAUT-USD,XAUT,high,Tier 2,0.077125,0.049054,2.8071,4.0,1.0,1.0,6.69,4.35,RWA,ACCUMULATE
tokenized_commodities,VNXAU-USD,VNXAU,high,Tier 2,0.077125,0.049054,2.8071,4.0,1.0,1.0,6.69,4.35,RWA,ACCUMULATE
tokenized_commodities,CGO-USD,CGO,high,Tier 2,0.077125,0.049054,2.8071,4.0,1.0,1.0,6.69,4.35,RWA,ACCUMULATE
tokenized_gold,PAXG-USD,PAXG,high,Tier 2,0.077125,0.049054,2.8071,4.0,1.0,1.0,6.69,4.35,RWA,ACCUMULATE
tokenized_gold,CGO-USD,CGO,high,Tier 2,0.077125,0.049054,2.8071,4.0,1.0,1.0,6.69,4.35,RWA,ACCUMULATE
tokenized_gold,VNXAU-USD,VNXAU,high,Tier 2,0.077125,0.049054,2.8071,4.0,1.0,1.0,6.69,4.35,RWA,ACCUMULATE
tokenized_gold,XAUT-USD,XAUT,high,Tier 2,0.077125,0.049054,2.8071,4.0,1.0,1.0,6.69,4.35,RWA,ACCUMULATE
tokenized_commodities,PAXG-USD,PAXG,high,Tier 2,0.077125,0.049054,2.8071,4.0,1.0,1.0,6.69,4.35,RWA,ACCUMULATE
sports,ASR-USD,ASR,high,Tier 2,0.076694,-0.050023,12.6716,3.0,0.0,1.0,4.14,13.37,Other,ACCUMULATE
sports,CHZ-USD,CHZ,high,Tier 2,0.076694,-0.050023,12.6716,3.0,0.0,1.0,4.14,13.37,Other,ACCUMULATE
sports,PORTO-USD,PORTO,high,Tier 2,0.076694,-0.050023,12.6716,3.0,0.0,1.0,4.14,13.37,Other,ACCUMULATE
sports,OG-USD,OG,high,Tier 2,0.076694,-0.050023,12.6716,3.0,0.0,1.0,4.14,13.37,Other,ACCUMULATE
sports,BAR-USD,BAR,high,Tier 2,0.076694,-0.050023,12.6716,3.0,0.0,1.0,4.14,13.37,Other,ACCUMULATE
sports,JUV-USD,JUV,high,Tier 2,0.076694,-0.050023,12.6716,3.0,0.0,1.0,4.14,13.37,Other,ACCUMULATE
sports,SWEAT-USD,SWEAT,high,Tier 2,0.076694,-0.050023,12.6716,3.0,0.0,1.0,4.14,13.37,Other,ACCUMULATE
sports,PSG-USD,PSG,high,Tier 2,0.076694,-0.050023,12.6716,3.0,0.0,1.0,4.14,13.37,Other,ACCUMULATE
sports,GAL-USD,GAL,high,Tier 2,0.076694,-0.050023,12.6716,3.0,0.0,1.0,4.14,13.37,Other,ACCUMULATE
amm,CRV-USD,CRV,high,Tier 2,0.073166,-0.150327,22.3493,7.0,0.0,1.0,-9.02,83.91,DeFi,ACCUMULATE
amm,1INCH-USD,1INCH,high,Tier 2,0.073166,-0.150327,22.3493,7.0,0.0,1.0,-9.02,83.91,DeFi,ACCUMULATE
amm,XPR-USD,XPR,high,Tier 2,0.073166,-0.150327,22.3493,7.0,0.0,1.0,-9.02,83.91,DeFi,ACCUMULATE
amm,JUP-USD,JUP,high,Tier 2,0.073166,-0.150327,22.3493,7.0,0.0,1.0,-9.02,83.91,DeFi,ACCUMULATE
amm,RAY-USD,RAY,high,Tier 2,0.073166,-0.150327,22.3493,7.0,0.0,1.0,-9.02,83.91,DeFi,ACCUMULATE
amm,CAKE-USD,CAKE,high,Tier 2,0.073166,-0.150327,22.3493,7.0,0.0,1.0,-9.02,83.91,DeFi,ACCUMULATE
amm,SUSHI-USD,SUSHI,high,Tier 2,0.073166,-0.150327,22.3493,7.0,0.0,1.0,-9.02,83.91,DeFi,ACCUMULATE
fan_token,ASR-USD,ASR,high,Tier 2,0.07141,-0.0558,12.721,4.0,0.0,1.0,-1.73,11.08,Other,ACCUMULATE
fan_token,OG-USD,OG,high,Tier 2,0.07141,-0.0558,12.721,4.0,0.0,1.0,-1.73,11.08,Other,ACCUMULATE
