sector,leading_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,interaction_score,combined_score,rank,tier,position_size_pct
winklevoss_capital_portfolio,0.4026835156799482,-0.0676179516232303,3.415091794235508,6.0,0.0,0.8447369840026375,7.793814497236286,28.876152425451977,-0.40570770973938175,-0.03346703368087522,1,Tier 4 - Monitor,2.5
pantera_capital_portfolio,0.3725493657731983,-0.1173231474517966,3.4388508641761604,5.0,0.0,0.8447369840026365,-2.824519373790095,23.86938521766964,-0.586615737258983,-0.082934638810035,2,Tier 4 - Monitor,2.5
ai_&_big_data,0.479091472112421,-0.0985166162438021,19.506219961856484,6.999999999999998,0.0,1.0,4.1578232818232586,41.41969880488074,-0.6896163137066146,0.09654558337476273,3,Tier 3 - Rotational,5.965455833747627
usv_portfolio,0.358608401603452,-0.1463536478923002,3.5513190920217914,5.0,0.0,0.8447369840026372,-20.291299979039614,20.02454583527021,-0.731768239461501,-0.1108404569720823,4,Tier 4 - Monitor,2.5
celsius_bankruptcy_estate,0.495524769025977,-0.1495504871463734,8.399107395558413,5.0,0.7,0.9360015797325428,-33.28334872177778,34.629496465922294,-0.747752435731867,-0.06555941319078926,5,Tier 4 - Monitor,2.5
dcg_portfolio,0.3650985509982853,-0.1314037841840074,3.416253429937817,6.699999999999998,0.0,0.8447369840026375,-2.2173703652086734,28.5012459291802,-0.8804053540328493,-0.09724124988462922,6,Tier 4 - Monitor,2.5
us_strategic_crypto_reserve,0.3422150517530925,-0.1873605224463878,3.560763537694135,5.0,0.0,0.8447369840026362,-33.992734150866625,19.75629436566735,-0.936802612231939,-0.15175288706944645,7,Tier 4 - Monitor,2.5
kenetic_capital_portfolio,0.3629296288309327,-0.1724435637842368,8.555641191232013,5.499999999999998,0.0,0.7476121067941632,-25.80139094425472,23.432272911478982,-0.9484396008133021,-0.08688715187191667,8,Tier 4 - Monitor,2.5
near_protocol_ecosystem,0.3795619370208376,-0.1661952266365702,7.8849741698008415,5.999999999999998,0.0,0.922870354349517,-28.09049790974537,34.7080391469939,-0.9971713598194208,-0.08734548493856177,9,Tier 4 - Monitor,2.5
made_in_china,0.4450170947503021,-0.1916607464193304,7.312052655890921,5.25,0.55,0.8748472467877569,-29.90819043120065,18.091160027551734,-1.0062189187014845,-0.1185402198604212,10,Tier 4 - Monitor,2.5
hashkey_capital_portfolio,0.3380282805963541,-0.1743365200553183,4.198996181527039,6.0,0.0,0.7236750095616473,0.9633184065260704,30.546026865847352,-1.0460191203319098,-0.1323465582400479,11,Tier 4 - Monitor,2.5
fantom_ecosystem,0.365805403436927,-0.2054343513905493,7.886819886609686,5.099999999999999,0.0,0.9228703543495168,-30.640034574236108,30.10407552528168,-1.047715192091801,-0.12656615252445244,12,Tier 4 - Monitor,2.5
bnb_chain_ecosystem,0.4798831235762784,-0.1838449562783972,8.022507325170487,5.699999999999998,0.7,0.9360015797325428,-25.020702695706827,27.606809016296047,-1.0479162507868638,-0.10361988302669232,13,Tier 4 - Monitor,2.5
oasis_ecosystem,0.349313943878456,-0.215729829497937,8.69147513192648,5.0,0.0,0.7476121067941627,-24.730854865758904,25.739038005801973,-1.078649147489685,-0.12881507817867222,14,Tier 4 - Monitor,2.5
dragonfly_capital_portfolio,0.3333043340645892,-0.2158558132740139,3.554075030864252,5.0,0.0,0.8447369840026369,-23.697370278561014,23.01254607383644,-1.0792790663700695,-0.18031506296537136,15,Tier 4 - Monitor,2.5
boostvc_portfolio,0.3598823895199307,-0.1418350214815632,3.386517334797029,7.849999999999999,0.0,0.8447369840026375,-6.339862008368559,26.346792943158924,-1.113404918630271,-0.10796984813359292,16,Tier 4 - Monitor,2.5
mvb,0.4075748954331979,-0.2251346011140285,15.800973648691278,5.0,0.0,1.0,-20.63132064833656,27.51633895540856,-1.1256730055701425,-0.06712486462711573,17,Tier 4 - Monitor,2.5
avalanche_ecosystem,0.407227547239637,-0.2260850490621013,17.387726168923205,5.0,0.0,0.9196362907019332,-35.483404836801306,37.90981073668996,-1.1304252453105066,-0.05220778737286927,18,Tier 4 - Monitor,2.5
solana_ecosystem,0.3794118811400828,-0.2274381491078493,14.151410138939374,5.0,0.0,0.8067472559724781,193.2966365615808,163.4758986552157,-1.1371907455392465,-0.08592404771845555,19,Tier 4 - Monitor,2.5
a16z_portfolio,0.3496159064608636,-0.1673485865252669,3.55084306951352,6.999999999999998,0.0,0.8447369840026369,-7.544954669672537,26.988383760198097,-1.171440105676868,-0.1318401558301317,20,Tier 4 - Monitor,2.5
communications_&_social_media,0.5582464470777094,-0.1873251889647471,16.609604075166853,6.5,1.0,0.8524865670127599,-12.158355862723862,29.859386646700703,-1.2176137282708561,-0.021229148213078558,21,Tier 4 - Monitor,2.5
exnetwork_capital_portfolio,0.4195079725021816,-0.2054362535582206,17.084855721665388,6.149999999999999,0.0,1.0,-18.070493075800066,26.612845134520747,-1.2634329593830564,-0.03458769634156672,22,Tier 4 - Monitor,2.5
memes,0.4465289790511914,-0.2301140276006548,23.84408173808984,5.7,0.0,1.0,-31.587956580854947,32.13646553110867,-1.3116499573237324,0.008326789780243593,23,Tier 4 - Monitor,2.5
iot,0.4007403926347609,-0.1988810814764268,12.925114767614971,6.85,0.0,1.0,-14.350432678421765,26.36571114128946,-1.3623354081135235,-0.0696299338002771,24,Tier 4 - Monitor,2.5
binance_launchpad,0.3683461544267511,-0.1949572696333577,9.646824499132618,7.000000000000002,0.0,0.8273204429788692,inf,23.575925050262335,-1.3647008874335043,-0.0984890246420315,25,Tier 4 - Monitor,2.5
