date,sector,num_tokens,num_edges,avg_correlation,fiedler_eigenvalue
2021-02-28,Interoperability,41,321,0.20021596368746783,3.2372609988045453
2021-02-28,Smart Contract Platform,109,2480,,8.49443331971643e-14
2021-02-28,Uncategorized,5,2,0.11944386058222974,0.0
2021-02-28,cApps,24,56,0.04065744907799571,0.5235897152958521
2021-02-28,dApps,350,18851,,4.846657613309281e-13
2021-03-31,Interoperability,41,302,0.18161199515368434,1.8889866403709297
2021-03-31,Smart Contract Platform,109,1716,,8.759326945356124e-14
2021-03-31,Uncategorized,5,5,0.10739117098376678,0.8299135133739662
2021-03-31,cApps,24,54,,1.1102226553795043e-15
2021-03-31,dApps,350,14948,,2.2219991836193007e-13
2021-04-30,Interoperability,41,448,0.2614384793094538,6.475875412761869
2021-04-30,Smart Contract Platform,109,2004,,3.7810672563196714e-15
2021-04-30,Uncategorized,5,4,0.13650232423063183,3.6724918139129963e-16
2021-04-30,cApps,24,62,,-7.79116150360703e-16
2021-04-30,dApps,350,18960,,-1.9532986339498848e-15
2021-05-31,Cryptocurrencies,238,12505,0.20996530751914577,13.853106264986152
2021-05-31,Interoperability,41,740,0.4947228149832383,2.9984894628589123
2021-05-31,Smart Contract Platform,109,4422,,8.526512829121202e-14
2021-05-31,Uncategorized,5,6,0.313969310093612,1.0000000000000009
2021-05-31,cApps,24,71,,5.681883871883166e-16
2021-05-31,dApps,350,40581,,1.1013260746629543e-13
2021-06-30,Cryptocurrencies,238,13929,0.25537348059642817,2.941886363015199
2021-06-30,Interoperability,41,758,0.5553034512855934,3.9965985111030364
2021-06-30,Smart Contract Platform,109,4897,,2.8497169901609e-14
2021-06-30,Uncategorized,5,9,0.4468444905784126,3.0
2021-06-30,cApps,24,99,,5.741100954502896e-17
2021-06-30,dApps,350,46669,,2.4864655843277864e-14
2021-07-31,Cryptocurrencies,238,14055,0.2581213727779592,5.956003002064962
2021-07-31,Interoperability,41,702,0.502648954424891,1.9948921298167848
2021-07-31,Smart Contract Platform,109,4575,,-8.621501136705373e-15
