sector,leading_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,rank
retail,0.4246666490915194,0.1320958261783241,9.081825425442634,3.361026734705064e-18,0.4,0.8245519432487329,10.071647615524752,39.03042668403065,1
tokenized_commodities,0.6101057825395928,0.0490544585293043,2.807073648278105,3.999999999999999,1.0,1.0,6.689536159458403,4.349094124171154,2
tokenized_gold,0.6101057825395929,0.0490544585293043,2.807073648278105,4.0,1.0,1.0,6.689536159458403,4.349094124171154,3
seigniorage,0.2533859370552219,0.0015675321257634,0.4420624066521598,4.578184553297183e-16,0.0,1.0,-2.388999985531362,15.010610615006168,4
fiat_stablecoin,0.2517297725310798,0.0002818295604576,0.303680100128704,2.1594659281145415e-16,0.0,1.0,0.2529004679108992,0.1686748657756845,5
usd_stablecoin,0.2676074721619585,0.0001871919659471,0.0314784221834926,0.4327421529394171,0.0,1.0,0.012749174499376,0.1101365546556821,6
stablecoin,0.2676074721619585,0.0001871919659471,0.0314784221834926,0.4327421529394176,0.0,1.0,0.012749174499376,0.1101365546556821,7
algorithmic_stablecoin,0.2508343529627578,-0.0008686572222257,0.2971683565682813,0.0,0.0,1.0,-1.803892192699108,4.8624458010101765,8
rebase,0.3270974108088078,-0.020282184542463,2.6546442522163898,-2.71326798910894e-16,0.65,0.8148389519331442,-18.405145280658928,21.228853541013606,9
xdc_ecosystem,0.405794933055032,-0.0245622542065039,2.8956784863726908,0.2411542731880107,1.0,1.0,-2.9945064824942804,7.9898919063346225,10
tokenized_assets,0.4196154515408954,-0.032449655919366,2.7482726383370286,0.75,1.0,1.0,5.014400830496624,12.868002507082377,11
hyperliquid_ecosystem,0.357956183171069,-0.0460021370307241,20.37239137969247,0.9999999999999998,0.0,1.0,50.45352914331029,36.85373907675453,12
sonic_ecosystem,0.335255604950856,-0.0463452897561451,19.19480823429224,0.5857864376269044,0.0,1.0,-3.799656244230487,10.90592043464466,13
sports,0.3966043948523804,-0.0500226261929614,12.67162909778185,3.000000000000002,0.0,1.0,4.137388698498769,13.374355294719098,14
fan_token,0.432807930118568,-0.0558002324752999,12.720997477652372,4.000000000000002,0.0,1.0,-1.7339835687431713,11.082202043223294,15
ai_memes,0.4887778093145464,-0.0594682948151844,31.62189637872768,3.099999999999999,0.0,1.0,60.53993511699743,49.09622396802381,16
tezos_ecosystem,0.4048713659748332,-0.0680542507971734,2.8058593232676268,0.9999999999999998,1.0,1.0,-6.069817174009634,13.96730360908074,17
launchzone,0.2789457306390097,-0.0772943421350689,14.766456260973683,1.0,0.0,0.703606305339005,-2.175999527402231,10.27022332238155,18
tron_ecosystem,0.3117592018096057,-0.0774349295947511,5.679648396820292,0.934202667336485,0.45,0.8383114771482918,inf,13.302831684489806,19
pump_fun_ecosystem,0.3847099266570337,-0.0848591413743425,30.95827988584792,1.0,0.0,1.0,1.424513024087103,18.04056189310641,20
parafi_capital,0.2836235022056435,-0.0858977911350719,12.169745713093215,0.8377223398316195,0.0,1.0,14.612572611864246,21.461145002150484,21
animal_memes,0.2101725108362115,-0.0871154486081272,5.940928297647663,5.218638697094476e-16,0.0,0.9196362907019336,inf,17.648093231478356,22
soccer,0.3749029294193444,-0.087694763538932,13.35194370876476,2.999999999999999,0.0,1.0,-2.585429475632865,10.586499253272375,23
bullperks_launchpad,0.3529483152599257,-0.0882657591450122,26.68705298258967,0.7931210322506455,0.0,1.0,2.3566299347783524,21.064165563152205,24
kommunitas_launchpad,0.3378051036914128,-0.0899934011098597,22.21717724008558,1.0,0.0,1.0,3.936204012776395,33.84069996006054,25
world_liberty_financial_portfolio,0.2921999255533605,-0.0901481545134259,16.79404894896046,0.5401460109156191,0.0,1.0,2.943040260809428,15.35179143216872,26
asset_management,0.2780193725987717,-0.0914893549558167,18.54406140503253,0.0206928309671162,0.0,0.986714992415612,2.095034473075461,17.080925460612196,27
wrapped_tokens,0.4419276070776671,-0.0943745602316106,12.453059662031997,6.799999999999999,0.0,0.9561899787234652,10.179418087523588,17.04126768839996,28
gambling,0.2033027176777135,-0.0950152312826003,3.207350090130162,0.1741669750802301,0.15,0.7414303072312809,5.177078902879653,10.295465966244542,29
interoperability,0.3980090199504433,-0.1002287090185741,5.743325798319576,5.000000000000001,0.0,0.8874479400507937,inf,24.146654819867244,30
binance_ecosystem,0.2464338171778797,-0.1026286673507909,12.116912714281233,0.277221570672891,0.0,0.9561899787234652,0.4224845495110839,13.292010555934246,31
ethereum_ecosystem,0.3442611066420408,-0.1030185513551706,17.069332923857228,2.0,0.0,1.0,1.376778153099076,18.411098127167197,32
alameda_research_portfolio,0.3046254719616515,-0.1041536936628651,12.150081827543424,1.7499999999999982,0.0,0.9561899787234646,1.5627004840357936,18.024441486972595,33
aptos_ecosystem,0.3197680384308115,-0.1043655198462418,20.32688747288749,1.0,0.0,1.0,1.5398669874724409,26.374594419994576,34
moon_knight_labs,0.3126930703605447,-0.106528722567452,21.24818396561343,0.9999999999999998,0.0,0.895620436764011,-0.6504608537161317,20.95473911751097,35
pantera_capital_portfolio,0.4308920913300953,-0.108779216532604,11.932563331239209,4.999999999999998,0.0,0.9561899787234648,-5.461667750308401,19.41468787330721,36
avalanche_ecosystem,0.4727173095556337,-0.1105209432553528,19.617557306608035,5.0,0.0,1.0,3.6209469514670007,22.66359400715319,37
layer_1,0.4303495958984462,-0.110961863155885,12.06959994946126,8.0,0.0,0.9561899787234646,3.2921821467805867,15.787103599990502,38
btcfi,0.3261351780993023,-0.111683819872585,22.431141454341702,0.9999999999999998,0.0,1.0,-16.4436240341221,17.965641173523732,39
