sector,leading_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,combined_score,rank,tier
ledgerprime_portfolio,0.606647945263293,-0.0869773914992259,113.59887889705584,0.6572261845363823,1.0,0.917684935517964,211.57319355701435,82.62529826720979,1.0490113974713324,1,Tier 1
zero_knowledge_proofs,0.580723316062749,-0.1628233161434622,101.8511760265132,0.7875388202501903,1.0,1.0,-10.263425708218032,27.829261522570874,0.8556884441216697,2,Tier 1
fenbushi_capital_portfolio,0.6189522342993423,-0.1844606097795121,102.23672392304002,1.95,1.0,1.0,8.573084253467368,28.96337022799252,0.8379066294508881,3,Tier 1
masternodes,0.7093697845807663,0.0453935597809033,51.92614924462663,0.7291941956808181,1.0,0.9672965201814484,29.361142373255017,31.871661816589302,0.5646550522271696,4,Tier 1
privacy,0.7069518877452384,0.0665682195659471,43.6444400159028,1.0282001859840364,1.0,0.9944098300562508,11.194906617521957,26.96815410318654,0.5030126197249751,5,Tier 1
social_token,0.3657170256692154,-0.2895225568278083,59.99954190305107,0.0,0.0,1.0,-57.98913907913538,26.22777845922905,0.31047286220270237,6,Tier 1
x402_ecosystem,0.4278298186678974,0.0959644681349756,20.16715139028836,1.2,0.0,0.6207886408506943,-9.972097513809029,35.00639508256573,0.2976359820378592,7,Tier 1
pump_fun_ecosystem,0.3770144596306121,-0.1670929797924227,37.90487680532785,0.9999999999999996,0.0,1.0,-23.67555043128633,23.325887033431588,0.21195578826085582,8,Tier 1
ai_agents,0.6016566870266488,-0.1335220964588188,33.67306027881659,4.5,0.85,0.6330226529739351,-26.58432545577243,49.21708599560771,0.20320850632934712,9,Tier 1
ip_memes,0.5014759778056362,-0.3140197936934892,45.80644062904192,4.0,0.0,1.0,-39.13953634388226,26.69867626607309,0.14404461259693002,10,Tier 2
kommunitas_launchpad,0.3121385225886436,-0.1247351864004592,26.6381716912486,0.3,0.0,1.0,-17.02017961236536,22.744015747872147,0.1416465305120268,11,Tier 2
ai_applications,0.439504920644892,-0.2319021315054985,36.36694138082005,0.9999999999999998,0.85,0.633022652973934,-24.46994726476595,51.21681458921388,0.13176728230270202,12,Tier 2
tron_memes,0.3021695975357286,-0.2075818914172082,33.74575515579187,4.440892098494795e-17,0.0,1.0,-30.651156650912636,17.914852801274947,0.12987566014071047,13,Tier 2
intent,0.3539777825908421,-0.2655848245803473,38.85778834046586,1.0,0.0,1.0,-24.738092593470807,32.37969029647245,0.12299305882431127,14,Tier 2
hacken_foundation,0.3214953686084089,-0.1390454814621971,25.792408414356363,0.9999999999999998,0.0,0.9273277907312596,-31.52958985582515,24.22382776244105,0.11887860268136649,15,Tier 3
ai_&_big_data,0.479091472112421,-0.0985166162438021,19.506219961856484,6.999999999999998,0.0,1.0,4.1578232818232586,41.41969880488074,0.09654558337476273,16,Tier 3
polygon_ventures_portfolio,0.3090065710397942,-0.1545553438325759,24.864823317472137,1.0,0.0,0.9196362907019332,5.364123785568542,17.447623029451364,0.09409288934214546,17,Tier 3
sonic_ecosystem,0.2819322441514938,-0.0667572467728624,15.513374394108109,0.5857864376269046,0.0,0.7922172903361142,-14.765270699856153,11.768295855344858,0.08837649716821869,18,Tier 3
inscriptions,0.334265241222199,-0.179102919833712,26.676253018041667,1.4499999999999995,0.0,1.0,inf,,0.08765961034670469,19,Tier 3
sun_pump_ecosystem,0.3269665372202113,-0.2560192125256457,33.77766425558376,0.9138698023485076,0.0,1.0,-34.74958141523105,20.83662186057341,0.08175743003019187,20,Tier 3
rollups,0.3140745972778913,-0.1984202700728995,27.9736209838706,0.9486257582689628,0.0,1.0,-29.1246780625008,23.73991639177848,0.0813159397658065,21,Tier 3
energy,0.3038265291563016,-0.118251423710694,19.537409513617867,0.8939838080228932,0.0,1.0,-24.98025493927333,14.371065900929043,0.07712267142548468,22,Tier 4
modular_blockchain,0.304717443912964,-0.1837913124697806,25.116585278670296,0.948625758268964,0.0,1.0,-27.460894660068192,23.41625837865816,0.06737454031692236,23,Tier 4
tokenized_gold,0.5913764291646336,-0.0044656662984421,6.945024481011723,4.0,1.0,1.0,-1.1203553728700522,9.307313559604436,0.06498457851167513,24,Tier 4
tokenized_commodities,0.5913764291646336,-0.0044656662984421,6.945024481011723,4.0,1.0,1.0,-1.1203553728700522,9.307313559604436,0.06498457851167513,25,Tier 4
ai_memes,0.4567698497927814,-0.3093556441372674,36.75154020096176,4.0,0.0,1.0,-62.64924504609595,71.495434241486,0.058159757872350226,26,Tier 4
polkafoundry_red_kite,0.2672573162127979,-0.2160065029881467,27.247797876264464,3.933442482297433e-33,0.0,1.0,-28.833633633392218,14.02329234240481,0.05647147577449793,27,Tier 4
icetea_labs,0.2621331697439708,-0.2363883857210304,27.268522876404603,3.114787578478853e-34,0.0,1.0,-33.56755949871768,15.804131359516006,0.03629684304301564,28,Tier 4
celebrity_memes,0.3616414755316951,-0.1246944507443493,14.934524666598326,3.0,0.0,1.0,-25.00282710664154,19.25686620651485,0.024650795921633953,29,Tier 4
xdc_ecosystem,0.4124255543430921,-0.0484086003272055,6.932938397756162,0.3343635059828541,1.0,1.0,-7.075523473292626,7.016019063427777,0.02092078365035612,30,Tier 4
bullperks_launchpad,0.2958339404342378,-0.2681196687124999,28.824727609848644,0.8120671354862766,0.0,1.0,-19.16114683233366,20.57391847784647,0.020127607385986512,31,Tier 4
poolz_finance_portfolio,0.25603745850554,-0.2337412801470259,25.340714561690056,0.0728110117978031,0.0,1.0,-2.964296640175836,23.96024208353777,0.0196658654698747,32,Tier 4
