sector,leading_score,momentum,trend,fiedler,bull_ratio,stability,recent_return_pct,volatility,combined_score,rank,tier
fenbushi_capital_portfolio,0.6303577405943142,-0.1613353460706016,57.56883667788283,2.0130168892721327,1.0,1.0,-19.965987376364165,18.56092529402933,0.41435302070822666,1,Tier 1
ledgerprime_portfolio,0.5862568554488425,-0.1359669973865019,47.06418638085985,0.991193498011254,1.0,1.0,214.56553705492277,120.21075066767628,0.33467486642209665,2,Tier 1
hacken_foundation,0.421777541832102,-0.1543858647737515,45.79700591268512,0.9999999999999998,0.0,1.0,-11.534038661109928,20.5302838850836,0.30358419435309975,3,Tier 1
social_token,0.3561930512006052,-0.3859495025503464,68.38895774917395,6.002649079235544e-18,0.0,1.0,-49.97930818516828,34.82186951417832,0.29794007494139313,4,Tier 1
zero_knowledge_proofs,0.5557816411716138,-0.2890895498566206,56.978336849141634,0.9999999999999994,1.0,1.0,-24.10765694730338,19.55001396507755,0.2806938186347957,5,Tier 1
ai_memes,0.4887778093145464,-0.0594682948151844,31.62189637872768,3.099999999999999,0.0,1.0,60.53993511699743,49.09622396802381,0.2567506689720924,6,Tier 1
cybersecurity,0.434881225967058,-0.1955549401230033,44.61696169510127,1.865289096192054,0.0,1.0,-17.27888787349427,21.180619238959054,0.2506146768280093,7,Tier 1
ip_memes,0.4919728760567033,-0.1552867575069863,39.11422598853253,3.6,0.0,1.0,-3.9097850275496975,18.181908644164515,0.235855502378339,8,Tier 1
pump_fun_ecosystem,0.3847099266570337,-0.0848591413743425,30.95827988584792,1.0,0.0,1.0,1.424513024087103,18.04056189310641,0.22472365748413667,9,Tier 1
retail,0.4246666490915194,0.1320958261783241,9.081825425442634,3.361026734705064e-18,0.4,0.8245519432487329,10.071647615524752,39.03042668403065,0.22291408043275046,10,Tier 1
tron_memes,0.3420414078514877,-0.1701403281891514,39.151356934784765,1.7326132833861379e-15,0.0,1.0,-2.0215763772792887,13.368794149448975,0.22137324115869625,11,Tier 1
cmc_community_vote_winners,0.4644415875129867,-0.2227501822176446,43.0498460298271,3.0,0.0,1.0,-0.7676623947043798,35.77828401173118,0.2077482780806264,12,Tier 1
icetea_labs,0.3252620660834334,-0.1534031871717682,34.40814078563096,-8.80730260604224e-17,0.0,1.0,-18.262755863990137,12.926092261572174,0.19067822068454143,13,Tier 1
political_memes,0.4009310262234775,-0.1555868878646361,33.73179111647013,2.0000000000000004,0.0,1.0,51.20257715768945,42.70216530273046,0.1817310233000652,14,Tier 1
bullperks_launchpad,0.3529483152599257,-0.0882657591450122,26.68705298258967,0.7931210322506455,0.0,1.0,2.3566299347783524,21.064165563152205,0.1786047706808845,15,Tier 1
sun_pump_ecosystem,0.3633736263023014,-0.2167234240114764,39.19986511801861,0.913869802348507,0.0,1.0,-2.3585057734925026,15.596926507690991,0.17527522716870966,16,Tier 1
poolz_finance_portfolio,0.3418459881000064,-0.2741662046973785,44.73564098223204,1.7948321539720523e-15,0.0,1.0,-12.006841431285904,28.908143892940785,0.17319020512494188,17,Tier 1
x402_ecosystem,0.4149215305903196,-0.2211099972785375,38.65881850250523,2.3,0.0,1.0,-19.10841489428397,34.164751307410384,0.16547818774651477,18,Tier 1
polkafoundry_red_kite,0.3146476631385315,-0.1791185617011981,34.35388713504947,8.93007436843844e-16,0.0,1.0,-7.731959840568566,11.464163991989532,0.1644203096492966,19,Tier 1
hyperliquid_ecosystem,0.357956183171069,-0.0460021370307241,20.37239137969247,0.9999999999999998,0.0,1.0,50.45352914331029,36.85373907675453,0.15772177676620058,20,Tier 1
petrock_capital_portfolio,0.3464470208876371,-0.2147463750839626,36.729897864137925,0.7856748094664789,0.0,1.0,2.582877917760513,22.43053589345261,0.15255260355741662,21,Tier 1
sonic_ecosystem,0.335255604950856,-0.0463452897561451,19.19480823429224,0.5857864376269044,0.0,1.0,-3.799656244230487,10.90592043464466,0.14560279258677727,22,Tier 2
privacy,0.4964857276399278,-0.1922322213728141,33.57815841147946,1.0078521417527764,1.0,1.0,-19.808667374349152,19.049217929100216,0.1435493627419805,23,Tier 2
telegram_bot,0.4741258498103491,-0.2323914419682896,37.47547093742209,4.0,0.0,1.0,-17.70468326627899,26.07245393481882,0.1423632674059313,24,Tier 2
oxbull,0.3196682876893808,-0.1161659797648304,25.220639287040854,0.7894719050995899,0.0,0.9047646841871606,-2.348087064998322,15.09388386423314,0.13604041310557813,25,Tier 2
kommunitas_launchpad,0.3378051036914128,-0.0899934011098597,22.21717724008558,1.0,0.0,1.0,3.936204012776395,33.84069996006054,0.13217837129099608,26,Tier 2
move_to_earn,0.3041635652580786,-0.2403655002073404,35.85904853579615,7.028104568595111e-16,0.0,1.0,146.71433761508573,52.66315640867904,0.1182249851506211,27,Tier 3
paal_ecosystem,0.4913716226052261,-0.2651701750113777,38.32127249244603,4.5,0.0,1.0,-16.615377604250302,23.005429874696297,0.1180425499130826,28,Tier 3
brc-20,0.3031291497220005,-0.1318325543229653,24.83597862501612,0.390503807322423,0.0,1.0,11.375009428159114,15.662988301741128,0.11652723192719591,29,Tier 3
intent,0.3293785223633755,-0.1691271791998046,28.539184853769903,0.9999999999999998,0.0,1.0,-14.976517650370614,34.675700108205554,0.11626466933789445,30,Tier 3
btcfi,0.3261351780993023,-0.111683819872585,22.431141454341702,0.9999999999999998,0.0,1.0,-16.4436240341221,17.965641173523732,0.11262759467083203,31,Tier 3
inscriptions,0.3552142251528349,-0.1367174848426583,24.858244490448637,1.7500000000000004,0.0,1.0,1.5263692862177631,25.09856182182016,0.11186496006182806,32,Tier 3
moon_knight_labs,0.3126930703605447,-0.106528722567452,21.24818396561343,0.9999999999999998,0.0,0.895620436764011,-0.6504608537161317,20.95473911751097,0.1059531170886823,33,Tier 3
aptos_ecosystem,0.3197680384308115,-0.1043655198462418,20.32688747288749,1.0,0.0,1.0,1.5398669874724409,26.374594419994576,0.09890335488263309,34,Tier 3
analytics,0.3446328066669977,-0.2209191037146932,31.79087162236833,1.4,0.0,1.0,inf,,0.09698961250899008,35,Tier 3
masternodes,0.4009384367887544,-0.1830265811499206,27.77773574166721,0.1457439655196098,0.8,0.947580163082284,-26.50397078253808,24.98445761981898,0.09475077626675149,36,Tier 3
asset_management,0.2780193725987717,-0.0914893549558167,18.54406140503253,0.0206928309671162,0.0,0.986714992415612,2.095034473075461,17.080925460612196,0.0939512590945086,37,Tier 3
memes,0.4698445944974543,-0.1744045652228396,26.640931484582097,4.8,0.0,1.0,3.9365582591422617,27.136798548838545,0.09200474962298139,38,Tier 3
jump_crypto,0.4441569131787817,-0.2120835767652622,30.406094960646005,4.0,0.0,1.0,-15.14135037426476,23.38131525182429,0.09197737284119786,39,Tier 3
duckstarter,0.2862783586257518,-0.2221764708402231,31.3868937651918,5.320481568952938e-17,0.0,1.0,-13.442711424155874,19.53456625481738,0.09169246681169488,40,Tier 3
health,0.2732219739625615,-0.1421346756326869,22.97736230229697,6.671451378840602e-16,0.0,1.0,186.0807003471336,59.861591101300085,0.08763894739028283,41,Tier 3
runes,0.3129879720584523,-0.1400209204041368,22.730619450596627,1.0000000000000004,0.0,1.0,1.1942993655338394,26.22693182360576,0.08728527410182949,42,Tier 3
avalanche_ecosystem,0.4727173095556337,-0.1105209432553528,19.617557306608035,5.0,0.0,1.0,3.6209469514670007,22.66359400715319,0.08565462981072755,43,Tier 3
solana_ecosystem,0.4720462557451856,-0.1150797923197321,19.98864899098687,5.0,0.0,1.0,4.886732874516442,114.17798086464413,0.0848066975901366,44,Tier 3
tokenized_real_estate,0.3028415259933064,-0.2225507413846902,30.56886849880929,0.5188056959079843,0.0,1.0,-9.814600429526774,19.52443972930711,0.08313794360340274,45,Tier 3
metisdao_ecosystem,0.3100864350436526,-0.1452943543593993,22.644349101495507,1.0,0.0,1.0,-17.67720406392185,19.85077731034994,0.08114913665555576,46,Tier 3
